x,n12,s12,n16,s16,n20,s20
0.01,2000,2000,2000,2000,2000,2000
0.02,2000,2000,2000,2000,2000,2000
0.03,2000,2000,2000,2000,2000,2000
0.04,2000,2000,2000,2000,2000,2000
0.05,2000,1999,2000,1999,2000,2000
0.06,2000,1940,2000,1980,2000,1998
0.07,2000,849,2000,852,2000,793
0.08,2000,2,2000,0,2000,0
