x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,9997,10000,10000,10000,10000
0.6,10000,9993,10000,9998,10000,10000
0.7,10000,9947,10000,9983,10000,9994
0.8,10000,9763,10000,9875,10000,9953
0.85,10000,9572,10000,9720,10000,9782
0.86,10000,9501,10000,9653,10000,9759
0.87,10000,9445,10000,9562,10000,9676
0.88,10000,9320,10000,9480,10000,9602
0.89,10000,9308,10000,9450,10000,9569
0.9,10000,9204,10000,9306,10000,9408
0.91,10000,9109,10000,9203,10000,9348
0.92,10000,8992,10000,9118,10000,9169
0.93,10000,8926,10000,8893,10000,9032
0.94,10000,8845,10000,8800,10000,8826
0.95,10000,8642,10000,8666,10000,8508
0.96,10000,8552,10000,8507,10000,8343
0.97,10000,8391,10000,8260,10000,8137
0.98,10000,8240,10000,8105,10000,7936
0.99,10000,8089,10000,7762,10000,7543
1.0,10000,8019,10000,7645,10000,7157
1.1,10000,5973,10000,4670,10000,3543
1.2,10000,3883,10000,2415,10000,1653
1.3,10000,2328,10000,1522,10000,1250
1.4,10000,1553,10000,1264,10000,1223
1.5,10000,1162,10000,1142,10000,1202
1.6,10000,866,10000,834,10000,873
1.7,10000,443,10000,329,10000,263
1.8,10000,99,10000,36,10000,7
1.9,10000,15,10000,0,10000,0
2.0,10000,1,10000,0,10000,0
