x,n12,s12,n16,s16,n20,s20
0.01,10000,9970,10000,9958,10000,9931
0.02,10000,9811,10000,9634,10000,9434
0.03,10000,9254,10000,8704,10000,8094
0.04,10000,8237,10000,6955,10000,5682
0.05,10000,6399,10000,4467,10000,2918
0.06,10000,3186,10000,1710,10000,698
0.07,10000,48,10000,0,10000,0
0.08,10000,0,10000,0,10000,0
0.09,10000,0,10000,0,10000,0
