x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,10000,10000,10000,10000,10000
0.6,10000,9998,10000,10000,10000,10000
0.7,10000,9993,10000,9997,10000,9998
0.8,10000,9904,10000,9950,10000,9983
0.85,10000,9757,10000,9858,10000,9915
0.86,10000,9756,10000,9838,10000,9869
0.87,10000,9721,10000,9770,10000,9833
0.88,10000,9607,10000,9700,10000,9774
0.89,10000,9560,10000,9658,10000,9705
0.9,10000,9498,10000,9565,10000,9652
0.91,10000,9419,10000,9481,10000,9496
0.92,10000,9309,10000,9340,10000,9375
0.93,10000,9194,10000,9191,10000,9233
0.94,10000,9057,10000,9047,10000,8982
0.95,10000,8898,10000,8903,10000,8700
0.96,10000,8693,10000,8639,10000,8377
0.97,10000,8568,10000,8359,10000,7998
0.98,10000,8275,10000,8092,10000,7666
0.99,10000,7979,10000,7663,10000,7162
1.0,10000,7703,10000,7386,10000,6691
1.1,10000,3601,10000,2369,10000,1310
1.2,10000,501,10000,52,10000,8
1.3,10000,7,10000,0,10000,0
1.4,10000,0,10000,0,10000,0
1.5,10000,0,10000,0,10000,0
1.6,10000,0,10000,0,10000,0
1.7,10000,0,10000,0,10000,0
1.8,10000,0,10000,0,10000,0
1.9,10000,0,10000,0,10000,0
2.0,10000,0,10000,0,10000,0
