x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,10000,10000,10000,10000,10000
0.6,10000,9988,10000,9995,10000,10000
0.7,10000,9955,10000,9984,10000,9997
0.8,10000,9805,10000,9919,10000,9974
0.9,10000,9417,10000,9603,10000,9718
0.91,10000,9392,10000,9570,10000,9709
0.92,10000,9355,10000,9520,10000,9601
0.93,10000,9311,10000,9434,10000,9544
0.94,10000,9221,10000,9379,10000,9447
0.95,10000,9126,10000,9315,10000,9403
0.96,10000,9031,10000,9157,10000,9298
0.97,10000,8938,10000,9110,10000,9203
0.98,10000,8858,10000,8908,10000,9073
0.99,10000,8804,10000,8844,10000,8929
1.0,10000,8725,10000,8686,10000,8821
1.01,10000,8644,10000,8578,10000,8600
1.02,10000,8519,10000,8390,10000,8431
1.03,10000,8405,10000,8276,10000,8165
1.04,10000,8220,10000,8131,10000,7978
1.05,10000,8176,10000,7915,10000,7791
1.06,10000,7896,10000,7723,10000,7438
1.07,10000,7824,10000,7491,10000,7226
1.08,10000,7635,10000,7384,10000,6982
1.09,10000,7576,10000,7162,10000,6742
1.1,10000,7356,10000,7026,10000,6408
1.2,10000,5753,10000,4668,10000,3615
1.3,10000,4047,10000,2728,10000,1861
1.4,10000,2728,10000,1784,10000,1337
1.5,10000,2007,10000,1392,10000,1241
1.6,10000,1627,10000,1268,10000,1274
1.7,10000,1414,10000,1263,10000,1245
1.8,10000,1285,10000,1223,10000,1215
1.9,10000,1262,10000,1245,10000,1259
2.0,10000,1207,10000,1228,10000,1227
