x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,10000,10000,10000,10000,10000
0.6,10000,9996,10000,10000,10000,10000
0.7,10000,9983,10000,9990,10000,9998
0.8,10000,9844,10000,9924,10000,9954
0.84,10000,9716,10000,9791,10000,9870
0.85,10000,9672,10000,9747,10000,9824
0.86,10000,9616,10000,9704,10000,9756
0.87,10000,9560,10000,9618,10000,9687
0.88,10000,9455,10000,9554,10000,9637
0.89,10000,9412,10000,9431,10000,9547
0.9,10000,9320,10000,9339,10000,9416
0.91,10000,9252,10000,9205,10000,9272
0.92,10000,9143,10000,9076,10000,9118
0.93,10000,8991,10000,8916,10000,8881
0.94,10000,8902,10000,8711,10000,8673
0.95,10000,8715,10000,8525,10000,8385
1.0,10000,7863,10000,7117,10000,6445
1.1,10000,5232,10000,3680,10000,2393
1.2,10000,2453,10000,1297,10000,953
1.3,10000,586,10000,206,10000,94
1.4,10000,40,10000,2,10000,0
1.5,10000,0,10000,0,10000,0
1.6,10000,0,10000,0,10000,0
1.7,10000,0,10000,0,10000,0
1.8,10000,0,10000,0,10000,0
1.9,10000,0,10000,0,10000,0
2.0,10000,0,10000,0,10000,0
