x,n12,s12,n16,s16,n20,s20
0.001,10000,10000,10000,10000,10000,10000
0.002,10000,10000,10000,10000,10000,10000
0.003,10000,10000,10000,10000,10000,10000
0.004,10000,9995,10000,10000,10000,10000
0.005,10000,9960,10000,9995,10000,10000
0.006,10000,9771,10000,9912,10000,9939
0.007,10000,9077,10000,9227,10000,9358
0.008,10000,7447,10000,7089,10000,6658
0.009,10000,5210,10000,4001,10000,2829
