x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,9999,10000,10000,10000,10000
0.6,10000,9989,10000,9997,10000,10000
0.7,10000,9950,10000,9968,10000,9992
0.8,10000,9758,10000,9844,10000,9904
0.81,10000,9744,10000,9812,10000,9877
0.82,10000,9676,10000,9747,10000,9831
0.83,10000,9649,10000,9751,10000,9824
0.84,10000,9636,10000,9672,10000,9707
0.85,10000,9557,10000,9638,10000,9684
0.86,10000,9493,10000,9560,10000,9620
0.87,10000,9443,10000,9437,10000,9505
0.88,10000,9339,10000,9387,10000,9392
0.89,10000,9229,10000,9177,10000,9312
0.9,20000,18371,20000,18264,20000,18210
0.91,10000,9093,10000,8974,10000,8947
0.92,10000,8937,10000,8842,10000,8765
0.93,10000,8823,10000,8623,10000,8552
0.94,10000,8716,10000,8496,10000,8280
0.95,10000,8634,10000,8263,10000,7955
0.96,10000,8437,10000,7982,10000,7720
0.97,10000,8245,10000,7768,10000,7236
0.98,10000,8129,10000,7514,10000,6904
1.0,10000,7846,10000,6947,10000,6091
1.1,10000,5433,10000,3735,10000,2522
1.2,10000,2834,10000,1415,10000,1060
1.3,10000,860,10000,317,10000,210
1.4,10000,131,10000,11,10000,1
