x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,9998,10000,10000,10000,10000
0.5,10000,9988,10000,10000,10000,10000
0.6,10000,9941,10000,9984,10000,9997
0.7,10000,9834,10000,9936,10000,9970
0.8,10000,9631,10000,9721,10000,9836
0.9,10000,9065,10000,9204,10000,9287
0.91,10000,8977,10000,9083,10000,9210
0.92,10000,8864,10000,8920,10000,9061
0.93,10000,8852,10000,8922,10000,9022
0.94,10000,8740,10000,8804,10000,8866
0.95,10000,8605,10000,8634,10000,8671
0.96,10000,8536,10000,8556,10000,8644
0.97,10000,8470,10000,8421,10000,8383
0.98,10000,8367,10000,8275,10000,8152
0.99,10000,8302,10000,8249,10000,8038
1.0,20000,16271,20000,15968,20000,15694
1.01,10000,8092,10000,7907,10000,7717
1.02,10000,7926,10000,7693,10000,7459
1.03,10000,7869,10000,7432,10000,7258
1.04,10000,7714,10000,7284,10000,6977
1.05,10000,7585,10000,7177,10000,6761
1.06,10000,7489,10000,6997,10000,6517
1.07,10000,7353,10000,6844,10000,6313
1.08,10000,7195,10000,6646,10000,6035
1.09,10000,7073,10000,6431,10000,5798
1.1,10000,6915,10000,6239,10000,5537
1.2,10000,5477,10000,4354,10000,3302
1.3,10000,4181,10000,2735,10000,1854
1.4,10000,3016,10000,1829,10000,1410
