x,n12,s12,n16,s16,n20,s20
0.001,10000,10000,10000,10000,10000,10000
0.002,10000,10000,10000,10000,10000,10000
0.003,10000,10000,10000,10000,10000,10000
0.004,10000,10000,10000,10000,10000,10000
0.005,10000,10000,10000,10000,10000,10000
0.006,10000,9999,10000,10000,10000,10000
0.007,10000,9990,10000,9998,10000,10000
0.008,10000,9967,10000,9994,10000,9999
0.0085,10000,9963,10000,9989,10000,9998
0.00875,10000,9947,10000,9987,10000,9993
0.009,10000,9947,10000,9986,10000,9995
0.00925,10000,9906,10000,9980,10000,9986
0.0095,10000,9894,10000,9956,10000,9987
0.00975,10000,9870,10000,9950,10000,9979
0.01,10000,9849,10000,9924,10000,9961
0.01025,10000,9805,10000,9907,10000,9965
0.0105,10000,9747,10000,9879,10000,9932
0.01075,10000,9707,10000,9827,10000,9900
0.011,10000,9635,10000,9783,10000,9860
0.01125,10000,9576,10000,9721,10000,9837
0.0115,10000,9532,10000,9648,10000,9792
0.01175,10000,9441,10000,9587,10000,9675
0.012,10000,9310,10000,9430,10000,9567
0.01225,10000,9204,10000,9350,10000,9495
0.0125,10000,9082,10000,9220,10000,9330
0.01275,10000,8949,10000,9021,10000,9119
0.013,10000,8775,10000,8886,10000,8913
0.01325,10000,8583,10000,8633,10000,8570
0.0135,10000,8402,10000,8381,10000,8311
0.01375,10000,8221,10000,8065,10000,7979
0.014,10000,7978,10000,7757,10000,7563
0.01425,10000,7792,10000,7516,10000,7139
0.0145,10000,7527,10000,7184,10000,6703
0.01475,10000,7307,10000,6838,10000,6221
0.015,10000,7042,10000,6411,10000,5776
0.01525,10000,6758,10000,5991,10000,5282
0.0155,10000,6409,10000,5594,10000,4702
0.01575,10000,6156,10000,5166,10000,4252
0.016,10000,5901,10000,4829,10000,3761
0.01625,10000,5615,10000,4539,10000,3454
0.0165,10000,5407,10000,4060,10000,3045
0.01675,10000,5177,10000,3844,10000,2775
0.017,10000,4851,10000,3558,10000,2423
0.01725,10000,4512,10000,3222,10000,2164
0.0175,10000,4323,10000,2816,10000,2023
0.01775,10000,4034,10000,2732,10000,1878
0.018,10000,3875,10000,2448,10000,1728
0.01825,10000,3578,10000,2363,10000,1641
0.0185,10000,3378,10000,2219,10000,1555
0.01875,10000,3186,10000,1965,10000,1475
0.019,10000,3007,10000,1837,10000,1468
0.01925,10000,2834,10000,1755,10000,1319
0.02,10000,2423,10000,1483,10000,1258
0.021,10000,1892,10000,1337,10000,1229
0.022,10000,1669,10000,1298,10000,1330
0.023,10000,1507,10000,1294,10000,1226
0.024,10000,1416,10000,1217,10000,1288
0.025,10000,1275,10000,1292,10000,1215
0.026,10000,1360,10000,1260,10000,1191
0.027,10000,1219,10000,1262,10000,1237
0.028,10000,1325,10000,1298,10000,1228
0.029,10000,1256,10000,1261,10000,1257
