x,n12,s12,n16,s16,n20,s20
0.01,10000,10000,10000,10000,10000,10000
0.02,10000,10000,10000,10000,10000,10000
0.03,10000,10000,10000,10000,10000,10000
0.04,10000,10000,10000,10000,10000,10000
0.05,10000,9997,10000,10000,10000,10000
0.06,10000,9707,10000,9918,10000,9977
0.07,10000,4455,10000,4180,10000,3697
0.08,10000,38,10000,0,10000,0
0.09,10000,0,10000,0,10000,0
