x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,10000,10000,10000,10000,10000
0.6,10000,9994,10000,10000,10000,10000
0.7,10000,9951,10000,9992,10000,9996
0.8,10000,9773,10000,9906,10000,9945
0.85,10000,9619,10000,9698,10000,9800
0.86,10000,9536,10000,9640,10000,9719
0.87,10000,9458,10000,9598,10000,9682
0.88,10000,9393,10000,9507,10000,9605
0.89,10000,9335,10000,9366,10000,9514
0.9,10000,9201,10000,9281,10000,9384
0.91,10000,9102,10000,9164,10000,9242
0.92,10000,9062,10000,9007,10000,9112
0.93,10000,8869,10000,8859,10000,8974
0.94,10000,8810,10000,8675,10000,8680
0.95,10000,8569,10000,8517,10000,8475
0.96,10000,8482,10000,8251,10000,8211
0.97,10000,8348,10000,8057,10000,7849
0.98,10000,8229,10000,7800,10000,7535
0.99,10000,8007,10000,7566,10000,7114
1.0,10000,7787,10000,7286,10000,6815
1.1,10000,5695,10000,4032,10000,2877
1.2,10000,3335,10000,1910,10000,1360
1.3,10000,1881,10000,1247,10000,1243
1.4,10000,927,10000,646,10000,732
1.5,10000,272,10000,134,10000,59
1.6,10000,27,10000,4,10000,0
1.7,10000,1,10000,0,10000,0
1.8,10000,0,10000,0,10000,0
1.9,10000,0,10000,0,10000,0
2.0,10000,0,10000,0,10000,0
