x,n12,s12,n16,s16,n20,s20
0.001,10000,10000,10000,10000,10000,10000
0.002,10000,9999,10000,10000,10000,10000
0.003,10000,9983,10000,10000,10000,9999
0.004,10000,9866,10000,9929,10000,9980
0.005,10000,9410,10000,9556,10000,9648
0.0051,10000,9322,10000,9495,10000,9603
0.0052,10000,9182,10000,9392,10000,9530
0.0053,10000,9167,10000,9287,10000,9400
0.0054,10000,8983,10000,9171,10000,9299
0.0055,10000,8893,10000,9052,10000,9150
0.0056,10000,8755,10000,8942,10000,8977
0.0057,10000,8683,10000,8705,10000,8781
0.0058,10000,8515,10000,8549,10000,8521
0.006,10000,8209,10000,8083,10000,8048
0.0061,10000,8121,10000,7940,10000,7693
0.0062,10000,7867,10000,7753,10000,7429
0.0063,10000,7695,10000,7442,10000,7055
0.0064,10000,7610,10000,7143,10000,6753
0.0065,10000,7407,10000,6951,10000,6433
0.0066,10000,7190,10000,6629,10000,6037
0.0067,10000,6935,10000,6250,10000,5714
0.0068,10000,6808,10000,6004,10000,5251
0.007,10000,6346,10000,5422,10000,4577
0.008,10000,4366,10000,2968,10000,2080
0.009,10000,2745,10000,1746,10000,1353
0.01,10000,1917,10000,1330,10000,1340
0.011,10000,1513,10000,1257,10000,1242
0.012,10000,1323,10000,1249,10000,1252
0.013,10000,1277,10000,1229,10000,1271
0.014,10000,1274,10000,1291,10000,1289
