x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,9993,10000,10000,10000,10000
0.6,10000,9990,10000,9998,10000,9999
0.7,10000,9943,10000,9983,10000,9998
0.8,10000,9789,10000,9886,10000,9953
0.9,10000,9379,10000,9511,10000,9624
0.91,10000,9330,10000,9457,10000,9566
0.92,10000,9207,10000,9328,10000,9460
0.93,10000,9163,10000,9287,10000,9386
0.94,10000,9064,10000,9214,10000,9315
0.95,10000,8907,10000,9019,10000,9116
0.96,10000,8945,10000,8920,10000,9030
0.97,10000,8748,10000,8875,10000,8866
0.98,10000,8703,10000,8679,10000,8754
0.99,10000,8563,10000,8534,10000,8494
1.0,10000,8502,10000,8322,10000,8277
1.01,10000,8261,10000,8268,10000,8096
1.02,10000,8162,10000,7919,10000,7857
1.03,10000,8028,10000,7812,10000,7557
1.04,10000,7870,10000,7564,10000,7264
1.05,10000,7771,10000,7416,10000,6965
1.06,10000,7560,10000,7206,10000,6750
1.07,10000,7374,10000,6987,10000,6459
1.08,10000,7261,10000,6675,10000,6066
1.09,10000,7147,10000,6470,10000,5786
1.1,10000,6907,10000,6173,10000,5424
1.2,10000,5183,10000,3700,10000,2700
1.3,10000,3320,10000,2088,10000,1551
1.4,10000,2256,10000,1433,10000,1298
1.5,10000,1675,10000,1300,10000,1259
1.6,10000,1359,10000,1243,10000,1279
1.7,10000,1305,10000,1281,10000,1238
1.8,10000,1266,10000,1206,10000,1230
1.9,10000,1228,10000,1252,10000,1212
2.0,10000,1212,10000,1267,10000,1305
