x,n12,s12,n16,s16,n20,s20
0.0,1000,1000,1000,1000,1000,1000
0.01,10000,10000,10000,10000,10000,10000
0.02,10000,10000,10000,10000,10000,10000
0.03,10000,10000,10000,10000,10000,10000
0.04,10000,10000,10000,10000,10000,10000
0.05,10000,10000,10000,10000,10000,10000
0.06,10000,10000,10000,10000,10000,10000
0.07,10000,10000,10000,10000,10000,10000
0.08,10000,9999,10000,10000,10000,10000
0.09,10000,9987,10000,9999,10000,10000
0.1,10000,9941,10000,9987,10000,9999
0.105,10000,9815,10000,9956,10000,9994
0.1075,10000,9737,10000,9912,10000,9984
0.11,10000,9618,10000,9847,10000,9971
0.1125,10000,9433,10000,9792,10000,9913
0.115,10000,9089,10000,9591,10000,9838
0.1175,10000,8706,10000,9299,10000,9650
0.12,10000,8136,10000,8784,10000,9286
0.1225,10000,7359,10000,8101,10000,8555
0.125,10000,6582,10000,7047,10000,7410
0.1255,10000,6401,10000,6808,10000,7140
0.126,10000,6118,10000,6439,10000,6893
0.1265,10000,6116,10000,6227,10000,6505
0.127,10000,5794,10000,6013,10000,6060
0.1275,10000,5561,10000,5695,10000,5824
0.128,10000,5326,10000,5340,10000,5490
0.1285,10000,5037,10000,5032,10000,5094
0.129,10000,4955,10000,4847,10000,4567
0.1295,10000,4693,10000,4430,10000,4235
0.13,10000,4394,10000,4189,10000,3744
0.1325,10000,3367,10000,2676,10000,1982
0.135,10000,2386,10000,1552,10000,894
0.1375,10000,1544,10000,743,10000,261
0.14,10000,959,10000,291,10000,54
0.1425,10000,517,10000,87,10000,7
0.145,10000,290,10000,27,10000,0
0.1475,10000,118,10000,6,10000,0
0.15,10000,59,10000,1,10000,0
0.16,10000,0,10000,0,10000,0
