x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,9998,10000,10000,10000,10000
0.5,10000,10000,10000,10000,10000,10000
0.6,10000,9991,10000,9998,10000,10000
0.7,10000,9948,10000,9980,10000,9995
0.8,10000,9855,10000,9918,10000,9963
0.9,10000,9545,10000,9707,10000,9815
0.91,10000,9498,10000,9665,10000,9768
0.92,10000,9468,10000,9646,10000,9747
0.93,10000,9385,10000,9606,10000,9697
0.94,10000,9326,10000,9537,10000,9637
0.95,10000,9295,10000,9431,10000,9560
0.96,10000,9262,10000,9369,10000,9517
0.97,10000,9175,10000,9249,10000,9422
0.98,10000,9148,10000,9229,10000,9372
1.0,10000,8925,10000,9034,10000,9099
1.01,10000,8919,10000,8927,10000,9041
1.02,10000,8735,10000,8798,10000,8858
1.03,10000,8722,10000,8695,10000,8714
1.04,10000,8602,10000,8562,10000,8565
1.05,10000,8499,10000,8420,10000,8367
1.06,10000,8311,10000,8286,10000,8185
1.07,10000,8287,10000,8138,10000,8047
1.08,10000,8089,10000,7960,10000,7875
1.09,10000,7975,10000,7835,10000,7538
1.1,20000,15846,20000,15220,20000,14662
1.2,10000,6500,10000,5590,10000,4631
1.3,10000,4969,10000,3532,10000,2530
1.4,10000,3511,10000,2156,10000,1547
1.5,10000,2558,10000,1524,10000,1290
1.6,10000,1847,10000,1382,10000,1227
1.7,10000,1495,10000,1298,10000,1194
1.8,10000,1352,10000,1287,10000,1255
1.9,10000,1355,10000,1246,10000,1187
2.0,10000,1147,10000,1257,10000,1247
