x,n12,s12,n16,s16,n20,s20
0.01,10000,10000,10000,10000,10000,10000
0.02,10000,10000,10000,10000,10000,10000
0.03,10000,10000,10000,10000,10000,10000
0.04,10000,9996,10000,10000,10000,10000
0.05,10000,9880,10000,9972,10000,9997
0.06,10000,7657,10000,8241,10000,8861
0.061,10000,7150,10000,7679,10000,8240
0.062,10000,6499,10000,6866,10000,7294
0.063,10000,5782,10000,5951,10000,6138
0.064,10000,4943,10000,4905,10000,4658
0.065,10000,4239,10000,3814,10000,3343
0.066,10000,3507,10000,2788,10000,2172
0.067,10000,2664,10000,1858,10000,1141
0.068,10000,2132,10000,1181,10000,567
0.069,10000,1505,10000,690,10000,272
0.07,10000,1121,10000,357,10000,88
0.08,10000,5,10000,0,10000,0
0.09,10000,0,10000,0,10000,0
0.1,10000,0,10000,0,10000,0
0.11,10000,0,10000,0,10000,0
0.12,10000,0,10000,0,10000,0
