x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,9999,10000,10000,10000,10000
0.6,10000,9987,10000,9998,10000,9999
0.7,10000,9954,10000,9992,10000,9999
0.8,10000,9847,10000,9933,10000,9986
0.9,10000,9624,10000,9804,10000,9852
0.91,10000,9618,10000,9733,10000,9838
0.92,10000,9553,10000,9704,10000,9810
0.93,10000,9524,10000,9665,10000,9769
0.94,10000,9484,10000,9604,10000,9755
0.95,10000,9441,10000,9605,10000,9728
0.96,10000,9373,10000,9549,10000,9668
0.97,10000,9331,10000,9489,10000,9592
0.98,10000,9244,10000,9398,10000,9568
1.0,10000,9140,10000,9355,10000,9391
1.01,10000,9036,10000,9211,10000,9315
1.02,10000,8988,10000,9099,10000,9219
1.03,10000,8925,10000,9004,10000,9057
1.04,10000,8889,10000,8935,10000,9027
1.05,10000,8774,10000,8834,10000,8857
1.06,10000,8657,10000,8723,10000,8772
1.07,10000,8638,10000,8641,10000,8577
1.08,10000,8479,10000,8441,10000,8417
1.09,10000,8396,10000,8320,10000,8302
1.1,20000,16589,20000,16400,20000,16243
1.2,10000,7110,10000,6447,10000,5737
1.3,10000,5671,10000,4513,10000,3474
1.4,10000,4266,10000,2932,10000,2048
1.5,10000,3045,10000,1933,10000,1406
1.6,10000,2221,10000,1505,10000,1262
1.7,10000,1773,10000,1367,10000,1261
1.8,10000,1528,10000,1304,10000,1272
1.9,10000,1412,10000,1304,10000,1264
2.0,10000,1302,10000,1318,10000,1212
